MBB.Id	reaction	Reversible	E.C.number	ko	E.C.num_gene
1	rn:R00286	reversible	(1.1.1.22)			[00040, 00053, 00520]
1	rn:R00287		(3.6.1.9)			[00240, 00500]
1	rn:R00289	reversible	(2.7.7.64)			[00040, 00052, 00500, 00520]
1	rn:R00289	reversible	(2.7.7.9)			[00040, 00052, 00500, 00520]
1	rn:R00291	reversible	(5.1.3.2)			[00052, 00520]
1	rn:R00292		(2.4.1.11)			[00500]
1	rn:R00299		(2.7.1.1)			[00500, 00521, 00524]
1	rn:R00299		(2.7.1.2)			[00500, 00521, 00524]
1	rn:R00303		(3.1.3.9)			[00500]
1	rn:R00316	reversible	(6.2.1.1)			[00620]
1	rn:R00328		(3.6.1.5)			[00230]
1	rn:R00328		(3.6.1.6)			[00230]
1	rn:R00330	reversible	(2.7.4.6)			[00230]
1	rn:R00332	reversible	(2.7.4.8)			[00230]
1	rn:R00333	reversible	(2.7.4.10)			[00230]
1	rn:R00335		(3.6.1.5)			[00230]
1	rn:R00336	reversible	(3.1.7.2)			[00230]
1	rn:R00342	reversible	(1.1.1.37)			[00020, 00620, 00630, 00680, 00710, 00720]
1	rn:R00344		(6.4.1.1)			[00020, 00620, 00720]
1	rn:R00351	reversible	(2.3.3.1)			[00020, 00630]
1	rn:R00352	reversible	(2.3.3.8)			[00020, 00720]
1	rn:R00355		(2.6.1.1)			[00220, 00250, 00710]
1	rn:R00366		(1.4.3.3)			[00260]
1	rn:R00367	reversible	(2.1.1.20)			[00260]
1	rn:R00371	reversible	(2.3.1.29)			[00260]
1	rn:R00372	reversible	(2.6.1.4)			[00260, 00630]
1	rn:R00372	reversible	(2.6.1.44)			[00260, 00630]
1	rn:R00375	reversible	(2.7.7.7)			[00230]
1	rn:R00376	reversible	(2.7.7.7)			[00230]
1	rn:R00377		(2.7.7.7)			[00240]
1	rn:R00378		(2.7.7.7)			[00240]
1	rn:R00405	reversible	(6.2.1.5)			[00020, 00640, 00720]
1	rn:R00410	reversible	(2.8.3.5)			[00072, 00280, 00650]
1	rn:R00414		(3.2.1.183)			[00520]
1	rn:R00416		(2.7.7.23)			[00520]
1	rn:R00426		(3.6.1.8)			[00230]
1	rn:R00426		(3.6.1.9)			[00230]
1	rn:R00430	reversible	(2.7.1.40)			[00230]
1	rn:R00431|R00726	reversible	(-.-.-.-)			[00010, 00020, 00620]
1	rn:R00431|R00726	reversible	(4.1.1.32)			[00010, 00020, 00620]
1	rn:R00432|R00727	reversible	(-.-.-.-)			[00020, 00640]
1	rn:R00432|R00727	reversible	(6.2.1.4)			[00020, 00640]
1	rn:R00434		(4.6.1.1)			[00230]
1	rn:R00434		(4.6.1.2)			[00230]
1	rn:R00435	reversible	(2.7.7.6)			[00230]
1	rn:R00437	reversible	(2.7.7.8)			[00230]
1	rn:R00438	reversible	(2.7.7.8)			[00240]
1	rn:R00439	reversible	(2.7.7.8)			[00230]
1	rn:R00440	reversible	(2.7.7.8)			[00240]
1	rn:R00441	reversible	(2.7.7.6)			[00230]
1	rn:R00442		(2.7.7.6)			[00240]
1	rn:R00443		(2.7.7.6)			[00240]
1	rn:R00465	reversible	(1.1.1.79)			[00630]
1	rn:R00470	reversible	(4.1.3.16)			[00630]
1	rn:R00471		(4.1.3.16)			[00330]
1	rn:R00475		(1.1.3.15)			[00630]
1	rn:R00494		(3.4.19.13)			[00480]
1	rn:R00497		(6.3.2.3)			[00480]
1	rn:R00503		(2.4.1.22)			[00052]
1	rn:R00511		(3.1.3.5)			[00240]
1	rn:R00512	reversible	(2.7.4.14)			[00240]
1	rn:R00513|R00516|R00517|R00962|R01548|R02091|R02096|R02371|R02372		(-.-.-.-)			[00240]
1	rn:R00513|R00516|R00517|R00962|R01548|R02091|R02096|R02371|R02372		(2.7.1.48)			[00240]
1	rn:R00514		(3.6.1.5)			[00240]
1	rn:R00515		(3.6.1.8)			[00240]
1	rn:R00515		(3.6.1.9)			[00240]
1	rn:R00551		(3.5.3.1)			[00220, 00330]
1	rn:R00557	reversible	(1.14.13.39)			[00220]
1	rn:R00566		(4.1.1.19)			[00330]
1	rn:R00569		(3.6.1.5)			[00240]
1	rn:R00570	reversible	(2.7.4.6)			[00240]
1	rn:R00571|R00573		(-.-.-.-)			[00240]
1	rn:R00571|R00573		(6.3.4.2)			[00240]
1	rn:R00575		(6.3.5.5)			[00240, 00250]
1	rn:R00582		(3.1.3.3)			[00260, 00680]
1	rn:R00585	reversible	(2.6.1.51)			[00260]
1	rn:R00588	reversible	(2.6.1.45)			[00260, 00630, 00680]
1	rn:R00589	reversible	(5.1.1.18)			[00260]
1	rn:R00610		(1.5.3.1)			[00260]
1	rn:R00611		(1.5.8.3)			[00260]
1	rn:R00615		(3.6.1.15)			[00730]
1	rn:R00618		(3.6.1.28)			[00730]
1	rn:R00619		(2.7.6.2)			[00730]
1	rn:R00621		(1.2.4.2)			[00020]
1	rn:R00648		(1.4.3.2)			[00270]
1	rn:R00650		(2.1.1.10)			[00270]
1	rn:R00658	reversible	(4.2.1.11)			[00010, 00680]
1	rn:R00662		(3.6.1.8)			[00240]
1	rn:R00662		(3.6.1.9)			[00240]
1	rn:R00667	reversible	(2.6.1.13)			[00330]
1	rn:R00670		(4.1.1.17)			[00330, 00480]
1	rn:R00703	reversible	(1.1.1.27)			[00010, 00620]
